,ECS_EC2,ECS_Fargate,EKS_EC2,EKS_Fargate,RKE,Lambda
,,,,,,
Sysbench,,,,,,
,14.3182,14.3008,10.2168,12.2089,10.2576,
,16.2743,14.7968,10.327,12.137,10.479,
,14.3021,15.5033,10.3543,12.2941,10.6136,
Average,14.96486667,14.86696667,10.29936667,12.21333333,10.45006667,#DIV/0!
,,,,,,
FSMARK,,,,,,
,137.1,,132.4,,52.1,
,136.4,,132.3,,46.9,
,136.8,,132.5,,52.6,
Average,136.7666667,#DIV/0!,132.4,#DIV/0!,50.53333333,#DIV/0!
,,,,,,
RAMspeed - Add Floating Point,,,,,,
,2729.25,1706.85,23142.81,3173.43,15116.75,
,2742.72,1675.51,22996.87,3168.67,13634.06,
,2815.6,1683.13,22467.54,3418.71,16413.71,
Average,2762.523333,1688.496667,22869.07333,3253.603333,15054.84,#DIV/0!
,,,,,,
RAMSpeed - Copy - Benchmark: Floating Point,,,,,,
,2993.84,1685.37,25868.19,3124.72,13485.41,
,2958.22,1681.24,25619.02,3106.24,13208.8,
,3069.04,1683.02,25453.31,3362.25,14673.68,
Average,3007.033333,1683.21,25646.84,3197.736667,13789.29667,#DIV/0!
,,,,,,
RAMSpeed - Scale - Benchmark: Floating Point,,,,,,
,2297.17,1610.41,19691.77,2988.7,13917.59,
,2293.15,1568.97,19682.7,2978.65,13963.45,
,2330.31,1590.09,19304.02,3233.46,14954.62,
Average,2306.876667,1589.823333,19559.49667,3066.936667,14278.55333,#DIV/0!
,,,,,,
RAMSpeed - Triad - Benchmark: Floating Point,,,,,,
,3118.36,1796.32,26623.95,3193.79,15662.69,
,3148.37,1728.28,26419.14,3247.51,15715.59,
,3229.48,1775.65,26190.64,3418.5,16534.71,
Average,3165.403333,1766.75,26411.24333,3286.6,15970.99667,#DIV/0!
,,,,,,
RAMSpeed - Average - Benchmark: Floating Point,,,,,,
,2788.81,1709.02,23750.66,3113.05,14618.62,
,2787.63,1669.14,23755.64,3114.51,14917.5,
,2866.41,1685.45,23364.08,3350.88,15902.64,
Average,2814.283333,1687.87,23623.46,3192.813333,15146.25333,#DIV/0!
,,,,,,
MBW - : Memory Copy - Array Size: 128 MiB ,,,,,,
,1207.42,1024,4815.16,3113.05,6929.84,
,1175.87,882.98,4800.1,2149.05,6502.85,
,1185.25,927.29,4826.5,2235.33,6877.78,
Average,1189.513333,944.7566667,4813.92,2499.143333,6770.156667,#DIV/0!
,,,,,,
7Zip - Compression Rating,,,,,,
,12432,796,12769,1625,13193,
,13125,762,13583,1635,13688,
,12532,794,12121,1708,15032,
Average,12696.33333,784,12824.33333,1656,13971,#DIV/0!
7Zip - Decompression Rating,,,,,,
,17541,539,18638,1134,20684,
,17534,523,18575,1133,22081,
,18564,535,18591,1146,20154,
Average,17879.66667,532.3333333,18601.33333,1137.666667,20973,#DIV/0!
m-queens,,,,,,
,7634.1,8880.26,264.35,4213.47,129.74,
,,8993.71,264.39,4226.76,128.84,
,7567,8930.53,263.8,4209.11,138.55,
Average,7600.55,8934.833333,264.18,4216.446667,132.3766667,#DIV/0!
Redis - LPOP,,,,,,
,226057.2,169481.1,1811300.88,382124.25,1372521.62,
,,163607.16,1887861.12,392260.47,1437672.25,
,211512.02,168022.05,1929769,378936.28,1436419.5,
Average,218784.61,167036.77,1876310.333,384440.3333,1415537.79,#DIV/0!
,,,,,,
Redis - SADD,,,,,,
,206741.41,151160.16,1525790.62,335247.44,970421.31,
,,147105.38,1516104,349946.25,1157619.12,
,185993.05,155115.7,1539655,344193.28,1167273.5,
Average,196367.23,151127.08,1527183.207,343128.99,1098437.977,#DIV/0!
,,,,,,
Redis - LPUSH,,,,,,
,180276.31,133047.72,1184458.62,288579,847285.56,
,,123054.6,1182603,294579.69,856164.38,
,185993.05,130627.52,1199763,292836.22,920895.06,
Average,183134.68,128909.9467,1188941.54,291998.3033,874781.6667,#DIV/0!
,,,,,,
Redis - GET,,,,,,
,221470,164609.58,1737971.5,368479.31,1318408.38,
,,157805.44,1807384,382394.56,1390060.62,
,222954.12,165680.67,1852881,371085.06,1406883.5,
Average,222212.06,162698.5633,1799412.167,373986.31,1371784.167,#DIV/0!
,,,,,,
Redis - SET,,,,,,
,201368.3,143508.67,1215533.25,308080.34,1034560.69,
,,136701.98,1323489,319730.91,1041920.44,
,201818.73,139278.14,1410044,317383.78,1046380.25,
Average,201593.515,139829.5967,1316355.417,315065.01,1040953.793,#DIV/0!
,,,,,,
tool-container-benchmark - on-prem - default,,,,,,
,163,168, 165,147,27,
, 164,172,150,137,32,
,171,181,149,143,29,
Average,167,173.6666667,149.5,142.3333333,29.33333333,#DIV/0!
,,,,,,
tool-container-benchmark - on-prem - 30000,,,,,,
,,, 165,147,27,
,,,150,137,32,
,,,149,143,29,
Average,9.59,10.27,10.25,10.36,1.55,13.54
,,,,,,
tool-container-benchmark - RDS - default,,,,,,
,37.56, 43.14,32.31,40.31, 156,
,37.57,35.52,33.57,39.46, 156,
,38.1,35.52,32.14,39.58, 157,
Average,37.74333333,35.52,32.67333333,39.78333333,156,#DIV/0!
,,,,,,
tool-container-benchmark - RDS - 30000,,,,,,
,2.34,1.37,2.12,2.39, 10.31, 3.10
,2.35,1.55,2.12,2.42,10.4,3.14
,2.32,1.56,2.8,2.4,10.32,3.14
Average,2.336666667,1.493333333,2.346666667,2.403333333,10.36,3.14
